iter	Passed	Remaining
0	160	159991
1	161	80611
2	162	54054
3	163	40744
4	164	32758
5	165	27466
6	166	23689
7	168	20854
8	169	18653
9	170	16882
10	171	15435
11	172	14226
12	173	13204
13	175	12329
14	176	11569
15	177	10896
16	178	10309
17	179	9788
18	180	9324
19	181	8909
20	182	8528
21	184	8180
22	185	7861
23	186	7570
24	187	7304
25	188	7058
26	189	6832
27	190	6621
28	191	6422
29	192	6234
30	193	6063
31	195	5904
32	196	5757
33	197	5618
34	199	5487
35	200	5361
36	201	5239
37	202	5127
38	203	5020
39	204	4918
40	206	4819
41	207	4729
42	208	4641
43	209	4556
44	210	4476
45	212	4399
46	213	4323
47	214	4253
48	215	4184
49	216	4117
50	217	4053
51	219	3992
52	220	3938
53	221	3884
54	223	3833
55	224	3782
56	225	3733
57	226	3686
58	228	3639
59	229	3593
60	230	3550
61	231	3507
62	233	3466
63	234	3426
64	235	3390
65	236	3352
66	238	3315
67	238	3274
68	240	3243
69	241	3211
70	243	3180
71	244	3150
72	245	3119
73	247	3098
74	249	3071
75	250	3045
76	252	3021
77	253	2995
78	254	2972
79	256	2945
80	257	2917
81	258	2891
82	259	2869
83	261	2846
84	261	2819
85	263	2798
86	264	2772
87	265	2750
88	266	2729
89	267	2709
90	269	2688
91	270	2669
92	271	2652
93	273	2634
94	274	2615
95	275	2597
96	277	2579
97	278	2561
98	279	2546
99	280	2528
100	282	2512
101	282	2490
102	284	2474
103	285	2458
104	286	2443
105	288	2429
106	289	2415
107	290	2400
108	291	2385
109	293	2370
110	294	2356
111	295	2341
112	296	2328
113	297	2315
114	299	2302
115	300	2289
116	301	2276
117	302	2264
118	304	2255
119	305	2243
120	307	2231
121	308	2219
122	309	2204
123	310	2192
124	311	2182
125	312	2170
126	314	2159
127	314	2144
128	315	2133
129	317	2121
130	318	2110
131	319	2099
132	320	2088
133	321	2077
134	322	2067
135	323	2057
136	325	2048
137	326	2038
138	327	2030
139	329	2021
140	330	2012
141	331	2003
142	332	1994
143	333	1984
144	335	1976
145	336	1968
146	337	1958
147	338	1950
148	340	1942
149	341	1934
150	342	1926
151	343	1918
152	345	1911
153	346	1903
154	347	1895
155	349	1888
156	350	1881
157	351	1874
158	353	1867
159	354	1860
160	355	1854
161	357	1851
162	359	1845
163	360	1839
164	362	1833
165	363	1827
166	365	1820
167	366	1814
168	367	1808
169	369	1802
170	370	1797
171	372	1792
172	373	1787
173	375	1781
174	376	1775
175	378	1770
176	379	1764
177	380	1758
178	381	1751
179	383	1744
180	383	1736
181	385	1730
182	386	1724
183	387	1718
184	389	1713
185	390	1708
186	391	1702
187	392	1697
188	394	1692
189	395	1686
190	397	1681
